;f0
5FTHFabc;0.0004693063787939373
ACt;0.009654639338283666
ADNabc;0.27513360251575036
ATPase;0.0
CA2abc;0.0012503364978336882
CO2t;0.007086145683370967
COAabc;0.002815869920392869
DADNabc;0.0008796490171495962
DCYTabc;0.0008573004283172732
DGSNabc;0.0008006260153322609
FAt;0.0007535748557563589
FORt;0.0
GLCpts;2.073216021840416
GLYCt;0.00028274039586392353
GSNabc;0.3379259889523811
H2Ot;0.26438961293050633
Kt6;0.001331929288928711
LIPTA;0.0002707801843158788
L_LACt2r;0.0
MG2abc;0.0020038054366088363
NACabc;0.0009027455023713447
NAt;0.00014178564321941654
NH3t;9.387323241764026e-05
O2t;0.1753774058020839
P5Pabc;0.0002791167733792503
PIabc;0.9875646486404458
PYRt2r;0.45477259343787707
RIBFLVabc;0.0003893073026573792
SPRMabc;0.00031476443059142974
THMDabc;0.0008917154862413119
THMPPabc;0.00019869314840743714
URAt2;0.08207613560362126
AA_t2r;0.025399743476644244
5FTHFPGS;0.00043957049602971635
ACKr;0.09123471175481374
ACPPAT;0.010477224190263035
ACPS;0.02056527840033425
ADK1;1.702737231708122
ADPT;0.18100390551733103
AGPAT;0.010712169946876807
APG3PAT;0.0006265335534727488
BPNT;0.0007734549143227334
CLPNS;0.00020445915146128263
CTPS2;0.40083833886952963
CYTK1;0.00018393204300218665
CYTK2;0.0003718480612686011
DADK;0.0004263735254753529
DADNK;0.0005910389947149573
DAGGALT;0.0001367432141483498
DAGPST;9.170151371032803e-05
DASYN;0.0006828374186606978
DCYTK;0.000549663612040984
DGK1;0.0003586447083467402
DGSNK;0.0005249430170607053
ENO;1.9754257760996605
FAKr;0.0019102981062604156
FBA;1.8547349724695537
FTHFCL;0.00015463988074833235
GALU;0.00122484156607311
GAPD;10.0
GK1;0.3621132906838739
GLYK;0.0013317833258235684
GUAPRT;0.2247502005412582
LDH_L;0.0007533070696908879
NADS;0.000318550659387036
NCTPPRT;0.0003415391429040426
NNATr;0.00033842401589337254
NOX;7.454770532563719
PAPA;0.00018932978639876971
PDH_E1;9.882782306708863
PDH_E2;10.0
PDH_E3;9.97657500037609
PFK;4.201393099020857
PGI;1.5497371218510223
PGK;9.90448406997142
PGK2;0.00019670367434772076
PGK4;2.4982479168541945
PGM;1.9755150618139463
PGMT;0.0005169644632836407
PGPP;0.0003314602188670441
PGSA;0.0005751222615696195
PPA;0.5993127062778693
PPM;0.17518250246254877
PRPPS;1.0917490519151747
PSSYN;0.00060052110277793
PTAr;0.14688478490343346
PUNP1;0.1266334213491326
PUNP3;0.15918860227578138
PYK2;0.4115387396128077
PYK3;0.2538401937807079
PYK4;0.0
PYK6;2.148932847981287
PYK7;0.0001252195190914786
PYK8;0.00016784034682986116
RBFK;0.00017284418798758152
RPE;0.11038890321591244
RPI;0.11029961750162673
TALA;0.11044604583285984
TKT1;0.11030469016538855
TKT2;0.10336866387245902
TMDK1;0.0005959250208160324
TMPK;0.0004286678699311121
TPI;0.9272782005204911
UDPG4E;0.0008456794542866083
UDPGALM;0.0007563937400008941
UMPK;0.5980685715336767
UPPRT;0.3603758855045585
AATRS;4.118288204471965
ACP_transl;3.660066283162998
PdhC_transl;0.06703383439712807
dUTPase_transl;0.01684931666626299
DNAP;0.00034713979015911067
tRNAP;1.1237144068683946
Ribosome;0.48971966428271474
