;f0
5FTHFabc;0.0004693063787939373
ACt;0.0
ADNabc;0.05614334503057124
CA2abc;0.0012503364978336882
CO2t;0.0
COAabc;0.0005636794919775548
DADNabc;0.015479265004647354
DCYTabc;0.00532430474565956
DGSNabc;0.00550652954943229
FAt;0.0007535748557563589
FORt;7.892151732654648e-05
GLCpts;1.020027506948247
GLYCt;0.00028274039586392353
GSNabc;0.06803051007784018
H2Ot;0.6164728311132276
Kt6;0.001331929288928711
LIPTA;0.0002707801843158788
MG2abc;0.0020038054366088363
NACabc;0.000902745502369795
NAt;0.00014178564321941654
NH3t;9.387323241759923e-05
O2t;0.06709270247134658
P5Pabc;0.0002791167733792503
PIabc;0.25070408797659455
PYRt2r;0.33527733836939816
RIBFLVabc;0.0003893073026573792
SPRMabc;0.00031476443059142974
THMDabc;0.015320965985013904
THMPPabc;0.00019869314840743714
URAt2;0.017571242750918835
AA_t2r;0.0036213163848835546
5FTHFPGS;0.00043957049602971635
ACKr;0.09123471175481374
ACPPAT;0.010477224190263035
ACPS;0.0022091909172274344
ADK1;0.3414338816695028
ADPT;0.03652349735873485
AGPAT;0.010712169946876807
APG3PAT;0.0006265335534727488
BPNT;0.0
CLPNS;0.00020445915146128263
CTPS2;0.08015222523719777
CYTK1;0.00018393204300218665
CYTK2;0.005196679106037596
DADK;0.01615910748315769
DADNK;0.014850140029375023
DAGGALT;0.0001367432141483498
DAGPST;9.170151371032803e-05
DASYN;0.0006828374186606978
DCYTK;0.004909136891645053
DGK1;0.005422374969873479
DGSNK;0.005123315513422517
ENO;0.7366461453614607
FAKr;0.0019102981062604156
FBA;0.6854700392755785
FTHFCL;0.00015463988074833235
GALU;0.5986370724404955
GAPD;3.7298147639942054
GK1;0.07210372522371007
GLYK;0.0013317833258235684
GUAPRT;0.044858232391756576
LDH_L;0.0007533070696908879
NADS;0.00031855065938418686
NCTPPRT;0.0003415391429028184
NNATr;0.00033842401589135516
NOX;2.849566168953359
PAPA;0.00018932978639876971
PDH_E1;9.882782306708863
PDH_E2;10.0
PDH_E3;9.97657500037609
PFK;1.5528717636042115
PGI;0.5535677671998867
PGK;2.749146137564513
PGK2;0.012864148310442865
PGK4;0.0
PGM;0.7367354310757465
PGMT;0.2091157927636474
PGPP;0.0003314602188670441
PGSA;0.0005751222615696195
PPA;0.2854894748658032
PPM;0.03529590717431212
PRPPS;0.22621565107855243
PSSYN;0.4566265432579825
PTAr;0.14688478490343346
PUNP1;0.025744034130829825
PUNP3;0.031952020711733156
PYK2;0.5411934344330706
PYK3;0.05044598952832248
PYK4;0.0
PYK6;0.003648132985529026
PYK7;0.0034091756594034784
PYK8;0.010850771618339876
RBFK;0.00017284418798758152
RPE;0.023658245851311308
RPI;0.023568960137025592
TALA;0.023715388468258717
TKT1;0.023574032800787414
TKT2;0.022346563303419543
TMDK1;0.014684660566750931
TMPK;0.015991036338888282
TPI;0.3426457339235035
UDPG4E;0.4568717016094912
UDPGALM;0.45678241589520546
UMPK;0.12734087178871897
UPPRT;0.07683973837800055
AATRS;0.5733323033337189
ACP_transl;0.40840428793642247
PdhC_transl;0.06703383439712807
dUTPase_transl;0.01684931666626299
DNAP;0.05987467100664341
tRNAP;0.22294725052560796
Ribosome;0.09701073801107055
