;f0
5FTHFabc;0.000457063603694965
ACt;0.0
ADNabc;0.0019324891989871164
ATPase;0.0
CA2abc;0.0012177190239771574
CO2t;-1.0400006347666135e-05
COAabc;0.0005489748095781541
DADNabc;0.0008567016514848244
DCYTabc;0.0008349360693176923
DGSNabc;0.000779740119280115
FAt;0.7765343913657997
FORt;0.0
GLCpts;0.3173627702639799
GLYCt;0.0002753645594500821
GSNabc;0.0013226648159756018
H2Ot;-0.04042526815011804
Ht;0.0
Kt6;0.0012971833074783968
LIPTA;0.000263716353419644
L_LACt2r;0.0
MG2abc;0.0019515322513059972
NACabc;0.0010299887540852592
NAt;0.00013808688730934483
NH3t;9.54166227373406e-05
O2t;0.029296370907577456
P5Pabc;0.00027183546624761766
PIabc;0.01588779713455565
PYRt2r;0.0
RIBFLVabc;0.0004787590742776636
SPRMabc;0.0003065531845760012
THMDabc;0.0008684533431219735
THMPPabc;0.00019350984888376487
URAt2;0.0003324891162476487
AA_t2r;0.06199310433924031
5FTHFPGS;0.0004281034396115499
ACKr;0.0008279643995108481
ACPPAT;0.010203905298343134
ACPS;0.0021515598498215017
ADK1;0.34472261976980073
ADPT;0.0007709921710361729
AGPAT;0.010432722035219154
APG3PAT;0.0006101891999038946
BPNT;0.0
CLPNS;0.00019912543446664054
CTPS2;0.0009086338804101175
CYTK1;0.00017913381579343397
CYTK2;0.0003621476770615942
DADK;0.0004152507378542568
DADNK;0.0005756205861571759
DAGGALT;0.00013317599986621895
DAGPST;8.930930030918905e-05
DASYN;0.0006650242686086798
DCYTK;0.0005353245612920888
DGK1;0.00034928875943334695
DGSNK;0.0005112488513982521
ENO;0.33376296060156807
FAKr;0.00186046424261884
FBA;0.30704836766410054
FMNAT;0.00010637257210884346
FTHFCL;0.00015060579690272369
GALU;0.001192889177392942
GAPD;1.6905564926621375
GK1;0.0004504498731492921
GLYK;0.0012970411521064321
GUAPRT;0.0004084868448586069
LDH_L;0.000733655580916343
NADHK;0.0002734660560571967
NADS;0.0005874572424478555
NCTPPRT;0.00045174641461558513
NNATr;0.0005258843686720645
NOX;1.2422375317159207
PAPA;0.00018439074849271487
PDH_E1;0.13408996893722452
PDH_E2;0.1355935571705702
PDH_E3;0.13518924501123764
PFK;0.6956973016750484
PGI;0.236732285988228
PGK;1.8690670225988297
PGK2;0.00019157227414734544
PGK4;-0.6173512638313756
PGM;0.3338499171233072
PGMT;0.0005034784338066761
PGPP;0.00032281343054877353
PGSA;0.0005601190721373687
PPA;0.07875744565429592
PPM;0.0007029373139522627
PRPPS;0.004038726246165701
PSSYN;0.0005848553348793753
PTAr;0.001895700643696034
PUNP1;0.0007721160783722576
PUNP3;0.0005071200022654844
PYK2;0.0016010396715389356
PYK3;0.00019616197576770815
PYK4;0.0
PYK6;0.5311217795304987
PYK7;0.00012195292294126612
PYK8;0.00016346190299951696
RBFK;0.00026594349154144745
RPE;0.0005145123503100925
RPI;0.0004275558285709621
TALA;0.0005701642902936591
TKT1;0.00043249616197378127
TKT2;0.0007197316064037138
TMDK1;0.000580379150707788
TMPK;0.00041748522984595265
TPI;0.15343722731031115
TRDR;8.695652173913044e-05
UDPG4E;0.0008236182511313056
UDPGALM;0.0007366617293921751
UMPK;0.0015633172593908205
UPPRT;0.0010758199883801924
AATRS;10.0
ACP_transl;2.0186746803056104
PdhC_transl;0.06528512567353217
dUTPase_transl;0.016409769274969174
DNAP;0.0003380839695462643
tRNAP;0.00041905921710730994
Ribosome;8.18099768049667
