;f0
5FTHFabc;0.00046515322499930065
ACt;0.0
ADNabc;0.0019666956519267527
ATPase;0.0
CA2abc;0.001239271573074098
CO2t;-1.0584077257291824e-05
COAabc;0.0005586911778892715
DADNabc;0.0007874790691043348
DCYTabc;0.0008238945170012045
DGSNabc;0.0007663408155345404
FAt;0.7765162184493494
FORt;0.0
GLCpts;0.31734632969613985
GLYCt;0.0002802382684668977
GSNabc;0.0013460789039951816
H2Ot;-0.0404150319358596
Ht;0.0
Kt6;0.0013201423040709347
LIPTA;0.0002683838994978658
L_LACt2r;0.0
MG2abc;0.0019860726451344218
NACabc;0.001048218643538096
NAt;0.000140530903013935
NH3t;9.710541252030238e-05
O2t;0.029292648275137067
P5Pabc;0.000276646713437841
PIabc;0.015991579501473892
PYRt2r;0.0
RIBFLVabc;0.00048723268621178156
SPRMabc;0.0003119789046569923
THMDabc;0.0008004234638767651
THMPPabc;0.00019693480196135362
URAt2;0.0003383748729242148
AA_t2r;0.061988701444769055
5FTHFPGS;0.0004356804916400728
ACKr;0.0008426186366703321
ACPPAT;0.010384505392119115
ACPS;0.002189640555128077
ADK1;0.3448315007519556
ADPT;0.0007846400982440623
AGPAT;0.010617371982745155
APG3PAT;0.0006209890087517511
BPNT;0.0
CLPNS;0.00020264977843950145
CTPS2;0.0009247207571915094
CYTK1;0.00018230432580747705
CYTK2;0.00034066995837260213
DADK;0.00033166546925016626
DADNK;0.0005033912862334786
DAGGALT;0.00013553309720898388
DAGPST;9.088999588988265e-05
DASYN;0.0006767946096460015
DCYTK;0.000519601677342934
DGK1;0.0003262026173225131
DGSNK;0.0004937190167305193
ENO;0.333695803106403
FAKr;0.00189339281328466
FBA;0.3069977279053539
FMNAT;0.00010825527250015041
FTHFCL;0.0001532713862284356
GALU;0.0012140022601786577
GAPD;1.6902375915776175
GK1;0.00045842683345677956
GLYK;0.0013199976326746874
GUAPRT;0.0004157194274562325
LDH_L;0.0007466406354458357
NADHK;0.0002783061632440497
NADS;0.0005978547157655169
NCTPPRT;0.00045974192637869294
NNATr;0.0005351920566131631
NOX;1.2420137592141276
PAPA;0.00018765430156338235
PDH_E1;0.13646324272372407
PDH_E2;0.1379934431381909
PDH_E3;0.1375819750114365
PFK;0.6955860828556129
PGI;0.23670954161541571
PGK;1.8687481732164144
PGK2;0.00012174539621730572
PGK4;-0.617201150863929
PGM;0.33378429868162424
PGMT;0.0005123895565289182
PGPP;0.00032852694259388456
PGSA;0.0005700326840336053
PPA;0.0787328778456874
PPM;0.0007153807405481075
PRPPS;0.004110221149105224
PSSYN;0.0005952067567356474
PTAr;0.0019292528674782648
PUNP1;0.0007857832798231388
PUNP3;0.0005160975062736715
PYK2;0.0016293816395052875
PYK3;0.0001996369523449351
PYK4;0.0
PYK6;0.5309744609271457
PYK7;0.00010513019105256539
PYK8;0.0001046079378240633
RBFK;0.00027065045599350846
RPE;0.0005236200994864667
RPI;0.0004351245242652278
TALA;0.0005802570295582381
TKT1;0.0004401522971973005
TKT2;0.0007324714668751213
TMDK1;0.0005092187817585482
TMPK;0.00033492421836571934
TPI;0.15341036837745572
TRDR;8.849557522123894e-05
UDPG4E;0.0008381955653106207
UDPGALM;0.0007496999900893817
UMPK;0.001590993841948625
UPPRT;0.0010948654173771667
AATRS;10.0
ACP_transl;2.10228355234436
PdhC_transl;0.06644061462350583
tRNAP;0.0004264898489005645
Ribosome;8.112602703084407
